node,type
G_6622,gene
G_29899,gene
G_4287,gene
G_104,gene
G_91452,gene
G_50651,gene
G_151648,gene
G_83932,gene
G_8029,gene
G_23446,gene
G_2895,gene
G_85446,gene
G_2972,gene
G_7277,gene
G_100996717,gene
G_3008,gene
G_6390,gene
G_6391,gene
G_6392,gene
G_116931,gene
G_387119,gene
G_10300,gene
G_1630,gene
G_51741,gene
G_55790,gene
G_64072,gene
G_1723,gene
G_10026,gene
G_755,gene
G_2120,gene
G_375387,gene
G_472,gene
G_10501,gene
G_84570,gene
G_5610,gene
G_27102,gene
G_23022,gene
G_220202,gene
G_9289,gene
G_81693,gene
G_9247,gene
G_2590,gene
G_80781,gene
G_3694,gene
G_130589,gene
G_199857,gene
G_7528,gene
G_9581,gene
G_6773,gene
G_90993,gene
G_23761,gene
G_85365,gene
G_28234,gene
G_10599,gene
G_958,gene
G_8726,gene
G_10715,gene
G_84504,gene
G_26284,gene
G_25930,gene
G_4174,gene
G_833,gene
G_84314,gene
G_1371,gene
G_844,gene
G_9394,gene
G_2253,gene
G_26012,gene
G_2796,gene
G_2798,gene
G_2260,gene
G_6866,gene
G_9723,gene
G_3730,gene
G_55717,gene
G_6870,gene
G_60675,gene
G_285025,gene
G_558,gene
G_10371,gene
G_389549,gene
G_84634,gene
G_10011,gene
G_128674,gene
G_3814,gene
G_54840,gene
G_79731,gene
G_6820,gene
G_25981,gene
G_8879,gene
G_121214,gene
G_23461,gene
G_805,gene
G_100128927,gene
G_801,gene
G_6523,gene
G_3931,gene
G_4882,gene
G_5971,gene
G_9474,gene
G_3859,gene
G_9928,gene
G_51651,gene
G_55779,gene
G_80217,gene
G_5692,gene
G_54941,gene
G_9319,gene
G_11284,gene
G_259232,gene
G_2954,gene
G_10463,gene
G_388662,gene
G_51227,gene
G_7994,gene
G_6528,gene
G_257,gene
G_258,gene
G_1749,gene
G_81570,gene
G_5825,gene
G_1892,gene
G_51117,gene
G_146862,gene
G_54583,gene
G_84706,gene
G_4141,gene
G_4547,gene
G_126129,gene
G_3691,gene
G_3655,gene
G_5351,gene
G_50,gene
G_112,gene
G_8506,gene
G_85476,gene
G_203547,gene
G_256297,gene
G_6548,gene
G_831,gene
G_9871,gene
G_117581,gene
G_51601,gene
G_23586,gene
G_55215,gene
G_83990,gene
G_8869,gene
G_34,gene
G_79641,gene
G_5318,gene
G_1019,gene
G_10157,gene
G_6491,gene
G_3913,gene
G_105259599,gene
G_3119,gene
G_1828,gene
G_9509,gene
G_79644,gene
G_145226,gene
G_412,gene
G_84701,gene
G_6697,gene
G_2628,gene
G_668,gene
G_6338,gene
G_37,gene
G_35,gene
G_2033,gene
G_1387,gene
G_788,gene
G_538,gene
G_10283,gene
G_960,gene
G_4534,gene
G_285590,gene
G_10483,gene
G_23230,gene
G_3030,gene
G_2593,gene
G_4322,gene
G_7414,gene
G_7390,gene
G_210,gene
G_83715,gene
G_2395,gene
G_53947,gene
G_23193,gene
G_146059,gene
G_6584,gene
G_2077,gene
G_158,gene
G_7517,gene
G_2904,gene
G_2707,gene
G_3209,gene
G_3048,gene
G_345895,gene
G_3039,gene
G_3040,gene
G_80207,gene
G_4758,gene
G_2255,gene
G_9620,gene
G_5176,gene
G_221421,gene
G_24148,gene
G_3759,gene
G_121391,gene
G_22858,gene
G_6507,gene
G_3043,gene
G_109580095,gene
G_55135,gene
G_5476,gene
G_7535,gene
G_26277,gene
G_274,gene
G_2055,gene
G_7132,gene
G_36,gene
G_55325,gene
G_1175,gene
G_6262,gene
G_659,gene
G_10786,gene
G_26090,gene
G_9131,gene
G_2752,gene
G_79443,gene
G_26227,gene
G_6566,gene
G_5149,gene
G_5979,gene
G_728294,gene
G_9095,gene
G_2038,gene
G_974,gene
G_9896,gene
G_57057,gene
G_347733,gene
G_23396,gene
G_1811,gene
G_1028,gene
G_10984,gene
G_26047,gene
G_5885,gene
G_1634,gene
G_63901,gene
G_1184,gene
G_3918,gene
G_25861,gene
G_23431,gene
G_631,gene
G_1356,gene
G_4353,gene
G_5328,gene
G_164656,gene
G_6443,gene
G_8671,gene
G_23511,gene
G_26007,gene
G_54974,gene
G_54970,gene
G_8456,gene
G_4018,gene
G_20,gene
G_91647,gene
G_9420,gene
G_10908,gene
G_55163,gene
G_338917,gene
G_3178,gene
G_55210,gene
G_89874,gene
G_1834,gene
G_9493,gene
G_6628,gene
G_58494,gene
G_7204,gene
G_94137,gene
G_29894,gene
G_4659,gene
G_91461,gene
G_8087,gene
G_246213,gene
G_8405,gene
G_7036,gene
G_22871,gene
G_55278,gene
G_11005,gene
G_5188,gene
G_55704,gene
G_9739,gene
G_5500,gene
G_283459,gene
G_79625,gene
G_7431,gene
G_51780,gene
G_27040,gene
G_57591,gene
G_64208,gene
G_4194,gene
G_5718,gene
G_55191,gene
G_63916,gene
G_55812,gene
G_57731,gene
G_6223,gene
G_5664,gene
G_587,gene
G_29928,gene
G_8737,gene
G_23001,gene
G_2811,gene
G_2812,gene
G_2815,gene
G_127534,gene
G_4858,gene
G_9181,gene
G_25871,gene
G_22868,gene
G_9373,gene
G_2531,gene
G_401474,gene
G_1718,gene
G_65217,gene
G_55703,gene
G_114609,gene
G_720,gene
G_1154,gene
G_463,gene
G_10059,gene
G_7021,gene
G_148738,gene
G_2563,gene
