gene_id,gene_symbol,disease_id,association_type
2690,GHR,OMIM:143890,POLYGENIC
129607,CMPK2,OMIM:621018,MENDELIAN
51398,WDR83OS,OMIM:621016,MENDELIAN
3778,KCNMA1,OMIM:609446,MENDELIAN
2492,FSHR,OMIM:608115,MENDELIAN
100507217,CHASERR,OMIM:621012,MENDELIAN
5984,RFC4,OMIM:621010,MENDELIAN
658,BMPR1B,OMIM:609441,MENDELIAN
1678,TIMM8A,OMIM:304700,MENDELIAN
10518,CIB2,OMIM:609439,MENDELIAN
7374,UNG,OMIM:608106,MENDELIAN
50674,NEUROG3,OMIM:610370,MENDELIAN
6833,ABCC8,OMIM:610374,MENDELIAN
1591,CYP24A1,OMIM:143880,MENDELIAN
4598,MVK,OMIM:610377,MENDELIAN
1234,CCR5,OMIM:610379,POLYGENIC
79053,ALG8,OMIM:608104,MENDELIAN
57465,TBC1D24,OMIM:608105,MENDELIAN
727857,BHLHA9,OMIM:609432,MENDELIAN
6950,TCP1,OMIM:621021,MENDELIAN
90268,OTULIN,OMIM:621030,MENDELIAN
57217,TTC7A,OMIM:243150,MENDELIAN
84839,RAX2,OMIM:610381,MENDELIAN
1524,CX3CR1,OMIM:609423,POLYGENIC
7098,TLR3,OMIM:609423,POLYGENIC
729230,CCR2,OMIM:609423,POLYGENIC
30835,CD209,OMIM:609423,POLYGENIC
6356,CCL11,OMIM:609423,POLYGENIC
6349,CCL3L1,OMIM:609423,POLYGENIC
6352,CCL5,OMIM:609423,POLYGENIC
3107,HLA-C,OMIM:609423,POLYGENIC
1234,CCR5,OMIM:609423,POLYGENIC
3577,CXCR1,OMIM:609423,POLYGENIC
6347,CCL2,OMIM:609423,POLYGENIC
6348,CCL3,OMIM:609423,POLYGENIC
6387,CXCL12,OMIM:609423,POLYGENIC
3586,IL10,OMIM:609423,POLYGENIC
3458,IFNG,OMIM:609423,POLYGENIC
7203,CCT3,OMIM:621034,MENDELIAN
4215,MAP3K3,OMIM:621032,MENDELIAN
5644,PRSS1,OMIM:167800,MENDELIAN
1080,CFTR,OMIM:167800,POLYGENIC
11330,CTRC,OMIM:167800,POLYGENIC
5645,PRSS2,OMIM:167800,POLYGENIC
6690,SPINK1,OMIM:167800,MENDELIAN
23503,ZFYVE26,OMIM:270700,MENDELIAN
477,ATP1A2,OMIM:104290,MENDELIAN
1294,COL7A1,OMIM:131850,MENDELIAN
285527,FRYL,OMIM:621049,MENDELIAN
112476,PRRT2,OMIM:128200,MENDELIAN
219736,STOX1,OMIM:609404,MENDELIAN
6905,TBCE,OMIM:244460,MENDELIAN
6949,TCOF1,OMIM:154500,MENDELIAN
546,ATRX,OMIM:309580,MENDELIAN
6611,SMS,OMIM:309583,MENDELIAN
1374,CPT1A,OMIM:255120,MENDELIAN
81887,LAS1L,OMIM:309585,MENDELIAN
91181,NUP210L,OMIM:621057,MENDELIAN
6833,ABCC8,OMIM:256450,MENDELIAN
84230,LRRC8C,OMIM:621056,MENDELIAN
23479,ISCU,OMIM:255125,MENDELIAN
8692,HYAL2,OMIM:621063,MENDELIAN
28982,FLVCR1,OMIM:621060,MENDELIAN
54463,RETREG1,OMIM:201300,MENDELIAN
6335,SCN9A,OMIM:201300,MENDELIAN
65125,WNK1,OMIM:201300,MENDELIAN
547,KIF1A,OMIM:201300,MENDELIAN
9276,COPB2,OMIM:617800,MENDELIAN
1376,CPT2,OMIM:255110,MENDELIAN
22907,DHX30,OMIM:617804,MENDELIAN
7407,VARS1,OMIM:617802,MENDELIAN
196528,ARID2,OMIM:617808,MENDELIAN
9230,RAB11B,OMIM:617807,MENDELIAN
6400,SEL1L,OMIM:621068,MENDELIAN
80000,GREB1L,OMIM:617805,MENDELIAN
6400,SEL1L,OMIM:621067,MENDELIAN
