gene_id,disease_id
9786,OMIM:616546
5295,OMIM:615214
178,OMIM:232400
4041,OMIM:617875
138050,OMIM:616544
79053,OMIM:617874
84700,OMIM:616549
8777,OMIM:615219
10383,OMIM:617879
23533,OMIM:615217
1285,OMIM:104200
65057,OMIM:616553
7471,OMIM:615221
672,OMIM:617883
83452,OMIM:615222
7305,OMIM:221770
54209,OMIM:221770
4747,OMIM:617882
7471,OMIM:615220
22861,OMIM:615225
7700,OMIM:615226
109,OMIM:617885
1453,OMIM:615224
6655,OMIM:616559
498,OMIM:615228
7072,OMIM:604454
23646,OMIM:617770
4638,OMIM:249210
9853,OMIM:617773
9860,OMIM:615112
114548,OMIM:617772
4750,OMIM:263520
343450,OMIM:617771
2778,OMIM:174800
84818,OMIM:616445
220,OMIM:615113
1355,OMIM:615119
81857,OMIM:616449
4693,OMIM:310600
267010,OMIM:603116
9742,OMIM:617781
65267,OMIM:309610
4522,OMIM:617780
939,OMIM:615122
55159,OMIM:617784
25959,OMIM:617783
84433,OMIM:616452
375790,OMIM:615120
8792,OMIM:174810
200205,OMIM:616451
51111,OMIM:617788
790,OMIM:616457
55689,OMIM:615127
80155,OMIM:617787
526,OMIM:616455
28960,OMIM:616459
1991,OMIM:162800
146057,OMIM:604432
51083,OMIM:616461
80153,OMIM:616460
55870,OMIM:617796
7015,OMIM:615134
25885,OMIM:616462
79797,OMIM:616469
816,OMIM:617799
79797,OMIM:616468
815,OMIM:617798
152926,OMIM:615135
5426,OMIM:615139
1441,OMIM:162830
4059,OMIM:111200
1303,OMIM:616471
1303,OMIM:616470
55714,OMIM:615145
246243,OMIM:616479
1482,OMIM:225250
5950,OMIM:615147
112476,OMIM:605751
8241,OMIM:311900
9051,OMIM:604416
51594,OMIM:616483
2261,OMIM:616482
83861,OMIM:616481
5339,OMIM:616487
85301,OMIM:615155
84879,OMIM:616486
1763,OMIM:615156
27089,OMIM:615159
1001,OMIM:225280
3481,OMIM:616489
54902,OMIM:615157
6023,OMIM:250250
59335,OMIM:616488
7381,OMIM:615158
6323,OMIM:604403
9786,OMIM:616490
79188,OMIM:604400
9533,OMIM:616494
7385,OMIM:615160
4669,OMIM:616491
3630,OMIM:125852
6934,OMIM:125853
5078,OMIM:125853
3667,OMIM:125853
6927,OMIM:125853
3569,OMIM:125853
3767,OMIM:125853
6928,OMIM:125853
5770,OMIM:125853
5506,OMIM:125853
169026,OMIM:125853
6833,OMIM:125853
4760,OMIM:125853
6514,OMIM:125853
8660,OMIM:125853
2820,OMIM:125853
208,OMIM:125853
5167,OMIM:125853
5468,OMIM:125853
2645,OMIM:125853
3159,OMIM:125853
9479,OMIM:125853
56729,OMIM:125853
3990,OMIM:125853
7466,OMIM:125853
3172,OMIM:125853
4544,OMIM:125853
3651,OMIM:125853
10644,OMIM:125853
3172,OMIM:125850
2645,OMIM:125851
675,OMIM:605724
10280,OMIM:605726
3386,OMIM:111250
79651,OMIM:148500
83938,OMIM:615179
23189,OMIM:612900
7476,OMIM:276820
1832,OMIM:612908
5080,OMIM:136520
351,OMIM:605714
148789,OMIM:615181
27247,OMIM:605711
1410,OMIM:615184
59345,OMIM:615185
6576,OMIM:615182
1419,OMIM:615188
2271,OMIM:150800
2879,OMIM:250220
5290,OMIM:612918
3912,OMIM:615191
2235,OMIM:177000
51750,OMIM:615190
199713,OMIM:231090
87,OMIM:615193
79705,OMIM:615198
359,OMIM:125800
2778,OMIM:166350
4179,OMIM:612922
23363,OMIM:612921
629,OMIM:612924
6916,OMIM:231095
3426,OMIM:612923
7056,OMIM:612926
718,OMIM:612925
170302,OMIM:308350
3848,OMIM:113800
6514,OMIM:227810
7155,OMIM:609296
6833,OMIM:240800
3939,OMIM:612933
1130,OMIM:214500
2027,OMIM:612932
7846,OMIM:611603
54344,OMIM:612937
9179,OMIM:612936
2710,OMIM:307030
79068,OMIM:612938
3417,OMIM:137800
7157,OMIM:137800
2064,OMIM:137800
7170,OMIM:609284
7169,OMIM:609285
291,OMIM:609283
5831,OMIM:612940
